DateTimeStamp,BASSpaceSP,CCValve,DAT,FanSS,FanStatus,HCValve,OADamper,OccupiedMode,SpaceTemp,Occ,stdbusinesshours
12/8/2017 12:00:00 AM,72,0,73.7,0,0,0,0,0,-96.8,1,0
12/8/2017 12:10:00 AM,72,0,73.6,0,0,0,0,0,-96.8,1,0
12/8/2017 12:20:00 AM,72,0,73.4,0,0,0,0,0,-97.5,1,0
12/8/2017 12:30:00 AM,72,0,73.4,0,0,0,0,0,-96.8,1,0
12/8/2017 12:40:00 AM,72,0,73.3,0,0,0,0,0,-96.8,1,0
12/8/2017 12:50:00 AM,72,0,73.1,0,0,0,0,0,-96.8,1,0
12/8/2017 1:00:00 AM,72,0,73.1,0,0,0,0,0,-96.8,1,0
12/8/2017 1:10:00 AM,72,0,73,0,0,0,0,0,-96.8,1,0
12/8/2017 1:20:00 AM,72,0,72.9,0,0,0,0,0,-96.8,1,0
12/8/2017 1:30:00 AM,72,0,72.9,0,0,0,0,0,-97.5,1,0
12/8/2017 1:40:00 AM,72,0,72.8,0,0,0,0,0,-96.8,1,0
12/8/2017 1:50:00 AM,72,0,72.7,0,0,0,0,0,-96.8,1,0
12/8/2017 2:00:00 AM,72,0,72.7,0,0,0,0,0,-96.1,1,0
12/8/2017 2:10:00 AM,72,0,72.6,0,0,0,0,0,-96.8,1,0
12/8/2017 2:20:00 AM,72,0,72.6,0,0,0,0,0,-97.5,1,0
12/8/2017 2:30:00 AM,72,0,72.4,0,0,0,0,0,-96.8,1,0
12/8/2017 2:40:00 AM,72,0,72.4,0,0,0,0,0,-96.8,1,0
12/8/2017 2:50:00 AM,72,0,72.4,0,0,0,0,0,-96.8,1,0
12/8/2017 3:00:00 AM,72,0,72.3,0,0,0,0,0,-96.8,1,0
12/8/2017 3:10:00 AM,72,0,72.2,0,0,0,0,0,-96.8,1,0
12/8/2017 3:20:00 AM,72,0,72.2,0,0,0,0,0,-96.8,1,0
12/8/2017 3:30:00 AM,72,0,72.1,0,0,0,0,0,-96.8,1,0
